@id,area,highway,name,centroid_lon,centroid_lat,source,bridge,layer,oneway,lanes,surface,ref,foot,service,junction,name:en,trail_visibility,incline,access,bicycle,horse,motor_vehicle,maxspeed,tunnel,lit,railway,description,segregated,construction,maxspeed:advisory,minspeed,overtaking,sidewalk,check_date
way/145531420,,secondary,,88.42351442184992,22.968890775932184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/145531423,,tertiary,,88.43139370866818,22.963223573710202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/145532452,,tertiary,,88.42364629534002,22.973805621628937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/145533698,,secondary,,88.42922254682252,22.978122665216674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/145535309,,secondary,,88.42803827598364,22.981946064932394,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/145889835,,residential,,88.42673101035292,22.97632511184465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/145889837,,residential,,88.43224060046197,22.975032349704403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146175334,,residential,,88.42267380054241,22.971732261800483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146175335,,residential,,88.42318109120319,22.972214484327793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146175366,,residential,,88.42367844559985,22.972625979364533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146175427,,residential,,88.42386821875229,22.972688965401346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146175711,,residential,,88.4221599072784,22.973327320919086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146176708,,residential,,88.42312035475074,22.972444447033116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146176834,,secondary,,88.42413807487873,22.970171346701278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146177316,,residential,,88.4297859335675,22.973304094508865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146177317,,residential,,88.42463011522986,22.975975006764774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146177318,,residential,,88.42922959836665,22.97419885626366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146177319,,residential,,88.42748981849039,22.974175316897323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146177358,,residential,,88.42273459490362,22.971007075847673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146177403,,residential,,88.42621094702318,22.969437364839145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146184995,,primary,,88.44533745080187,22.977699175962467,,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/146185210,,secondary,,88.44854925058733,22.976124600938178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146185311,,secondary,,88.44215722621348,22.971746171804163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146185386,,tertiary,,88.43574294796194,22.970573661307636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146185507,,residential,,88.44053549967165,22.972316837534063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146185508,,residential,Pannalal Road,88.43954679812832,22.974732304038376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146185547,,residential,,88.44014365,22.9736899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146185570,,residential,,88.43879520773392,22.97535966394229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146185588,,residential,,88.4394466,22.975606199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146185739,,residential,,88.42859871384267,22.96919309041338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146712295,,secondary,,88.43254729999313,22.98280415002831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146999572,,unclassified,,88.44741848853772,22.956498538580192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146999578,,residential,,88.4510308,22.95944785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146999651,,secondary_link,,88.45480413436624,22.962725239880847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146999652,,secondary_link,,88.44957698843125,22.97365553409757,,,,yes,,,,,,roundabout,,,,,,,,,,,,,,,,,,,
way/146999653,,secondary_link,,88.4502492,22.974158199999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146999654,,secondary,,88.45065858409136,22.974598562376183,,,,yes,,,,,,roundabout,,,,,,,,,,,,,,,,,,,
way/146999664,,secondary_link,,88.45027180871996,22.967311409970304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146999729,,secondary,,88.46320521839458,22.97132079402798,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/146999740,,primary,Kalyani Road,88.46663860164476,22.975112241858753,,,,,,,,,,,National Highway 34 Connector,,,,,,,,,,,,,,,,,,
way/146999741,,primary,National Highway 34 Connector,88.47062415496707,22.977221780001518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/146999827,,secondary,,88.46540482291694,22.969519798304344,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
way/147000002,,secondary_link,,88.4581091255567,22.964061501252097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147000010,,tertiary,,88.46144362206465,22.968779031977515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147000020,,secondary,,88.46084948408478,22.971850488597617,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/147000021,,secondary,,88.46082146184288,22.971749525860677,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/147000029,,residential,,88.4625212427629,22.971823944610296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147000043,,residential,,88.46233786379796,22.972868583626553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147000071,,tertiary,,88.45808082841044,22.97565973635603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147000072,,residential,,88.43748838770313,22.982180764509607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147001779,,residential,,88.43765741985915,22.97181706631531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147001780,,residential,,88.43716179538508,22.970622641599235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147001781,,residential,,88.43669710698168,22.96955928523339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147001918,,residential,,88.43805040420897,22.972385123898956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147001919,,residential,,88.43592371737087,22.972990988566227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147003949,,residential,,88.46583586541415,22.965597642090874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147004391,,service,,88.4741205512607,22.971716827363977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147004392,,service,,88.47261162498143,22.972142877834322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147004732,,unclassified,,88.47813529518778,22.97313941307254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147005357,,tertiary,,88.48321093082907,22.9804465258873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147005428,,unclassified,,88.47868717542266,22.97677028335392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147043063,,residential,,88.47817843179988,22.95625905465195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147043466,,residential,,88.47429877085307,22.95497898720435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147043467,,tertiary_link,,88.47789280088648,22.955324319876883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147043738,,residential,,88.47276242899567,22.954693294785248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147043741,,residential,,88.47213386139165,22.95346640869728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147044549,,tertiary,,88.47432577001094,22.950481429985206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147044551,,residential,,88.46365346085807,22.947368996240545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
