id,lat,lon,tag_key,tag_value
301286998,46.8585337,-71.2359897,highway,stop
301287003,46.8560571,-71.2359499,highway,stop
301287004,46.8571946,-71.2342000,highway,stop
301287047,46.8571675,-71.2426933,highway,stop
301287048,46.8613970,-71.2464491,highway,stop
301287056,46.8574726,-71.2419868,highway,stop
301287072,46.8598544,-71.2450794,highway,stop
301287073,46.8601595,-71.2443481,highway,stop
301287090,46.8576599,-71.2468266,highway,stop
301287091,46.8542800,-71.2553237,highway,stop
301287092,46.8555066,-71.2453496,highway,stop
301287099,46.8524725,-71.2432244,highway,stop
301287325,46.8622291,-71.2511789,highway,stop
301287335,46.8597614,-71.2603115,highway,crossing
301287337,46.8635741,-71.2524749,highway,stop
301287344,46.8608494,-71.2545001,highway,stop
301287360,46.8646192,-71.2534189,highway,stop
301287363,46.8648307,-71.2536213,highway,stop
301287370,46.8600453,-71.2649675,highway,traffic_signals
301287372,46.8612569,-71.2618593,highway,stop
301287382,46.8607319,-71.2576844,highway,stop
301287383,46.8592218,-71.2563263,highway,stop
301287401,46.8604727,-71.2528272,highway,stop
301287404,46.8566071,-71.2494301,highway,stop
301287434,46.8591152,-71.2515526,highway,stop
301287479,46.8562178,-71.2520957,highway,stop
301287481,46.8542249,-71.2504380,highway,stop
301287497,46.8573461,-71.2560508,highway,stop
301287503,46.8545352,-71.2597190,highway,traffic_signals
301287535,46.8664794,-71.2622262,highway,traffic_signals
301287564,46.8678704,-71.2601480,highway,bus_stop
301918912,46.8585249,-71.2679712,highway,traffic_signals
301918988,46.8570625,-71.2713515,highway,stop
301919469,46.8574598,-71.2756677,highway,traffic_signals
301919470,46.8560315,-71.2737183,highway,stop
303683546,46.8569249,-71.2822781,highway,stop
303683595,46.8592283,-71.2854877,highway,stop
303683705,46.8641703,-71.2843968,highway,stop
303683738,46.8670896,-71.2861970,highway,traffic_signals
303683739,46.8669765,-71.2860873,highway,traffic_signals
303683748,46.8631960,-71.2780315,highway,stop
303683756,46.8622040,-71.2747302,highway,turning_circle
303683814,46.8649021,-71.2821896,highway,stop
303683821,46.8672334,-71.2795819,highway,stop
303683825,46.8696490,-71.2802308,highway,traffic_signals
303683845,46.8691972,-71.2772243,highway,stop
303683869,46.8644615,-71.2752671,highway,stop
303683902,46.8642745,-71.2802997,highway,stop
303683904,46.8661715,-71.2779304,highway,stop
303683926,46.8684293,-71.2828730,highway,traffic_signals
303683927,46.8685118,-71.2830041,highway,traffic_signals
303683945,46.8661224,-71.2807508,highway,stop
303683960,46.8677189,-71.2640849,highway,stop
303684072,46.8693480,-71.2665039,highway,stop
303684073,46.8694754,-71.2664402,highway,stop
303684074,46.8725373,-71.2649117,highway,stop
303684075,46.8729584,-71.2667398,highway,stop
303684076,46.8698723,-71.2681819,highway,stop
303684077,46.8697585,-71.2682425,highway,stop
303684084,46.8669155,-71.2678340,highway,stop
