Node ID,Latitude,Longitude,Edge
797804814,23.6605519,86.8632499,"(797804814, 797804822)"
797804822,23.6521747,86.8925381,"(797804822, 797804823)"
797804823,23.7188554,86.9196296,"(797804823, 797804825)"
797804825,23.6254438,86.9320609,"(797804825, 797804832)"
797804832,23.6585772,86.869105,"(797804832, 797804839)"
797804839,23.6331245,86.9057124,"(797804839, 797804841)"
797804841,23.7398541,87.0283889,"(797804841, 797804844)"
797804844,23.6419024,86.8989346,"(797804844, 797804845)"
797804845,23.7148976,86.917278,"(797804845, 797804847)"
797804847,23.6250448,86.9169268,"(797804847, 797804849)"
797804849,23.6514766,86.8732667,"(797804849, 797804852)"
797804852,23.6943424,87.0410458,"(797804852, 797804853)"
797804853,23.6556366,86.8799258,"(797804853, 797804854)"
797804854,23.7249605,86.938305,"(797804854, 797804857)"
797804857,23.6295336,86.9181245,"(797804857, 797804862)"
797804862,23.6360386,86.8964926,"(797804862, 797804865)"
797804865,23.6263415,86.906039,"(797804865, 797804868)"
797804868,23.6541693,86.8619434,"(797804868, 797804869)"
797804869,23.7438905,87.0207744,"(797804869, 797804873)"
797804873,23.706029,87.0304483,"(797804873, 797804878)"
797804878,23.6308303,86.9315165,"(797804878, 797804882)"
797804882,23.6448941,86.8916671,"(797804882, 797804985)"
797804985,23.6588245,86.8672924,"(797804985, 797805002)"
797805002,23.6627459,86.8617256,"(797805002, 797805009)"
797805009,23.6540896,86.8886785,"(797805009, 797805010)"
797805010,23.7196172,86.920369,"(797805010, 797805014)"
797805014,23.6514766,86.8802349,"(797805014, 797805025)"
797805025,23.6660116,86.8534231,"(797805025, 797805046)"
797805046,23.6355184,86.9032082,"(797805046, 797805050)"
797805050,23.741773,87.0268499,"(797805050, 797805053)"
797805053,23.643609,86.8982705,"(797805053, 797805054)"
797805054,23.7159216,86.9181035,"(797805054, 797805056)"
797805056,23.6248453,86.923895,"(797805056, 797805061)"
797805061,23.6933529,87.0432267,"(797805061, 797805062)"
797805062,23.6564022,86.8766104,"(797805062, 797805063)"
797805063,23.7437185,86.9799907,"(797805063, 797805066)"
797805066,23.6303316,86.9111563,"(797805066, 797805069)"
797805069,23.6320273,86.8999418,"(797805069, 797805073)"
797805073,23.6247455,86.9093053,"(797805073, 797805076)"
797805076,23.6514766,86.8660808,"(797805076, 797805080)"
797805080,23.703631,87.0314676,"(797805080, 797805084)"
797805084,23.6298328,86.9254193,"(797805084, 797805087)"
797805087,23.6434914,86.8931899,"(797805087, 798013178)"
798013178,23.6459325,86.898696,"(798013178, 798013184)"
798013184,23.6454922,86.8990761,"(798013184, 798036052)"
798036052,23.6522685,86.9048275,"(798036052, 798036055)"
798036055,23.6741727,87.0097123,"(798036055, 798036058)"
798036058,23.6744356,87.0089172,"(798036058, 798036070)"
798036070,23.6517191,86.9071272,"(798036070, 798036077)"
798036077,23.6739752,87.0102109,"(798036077, 798036089)"
798036089,23.6521639,86.9088407,"(798036089, 798036099)"
798036099,23.6694377,87.0131219,"(798036099, 798036107)"
798036107,23.6744236,87.0061163,"(798036107, 834462555)"
834462555,23.6683824,87.0397532,"(834462555, 834462585)"
834462585,23.6938929,86.9925236,"(834462585, 834462609)"
834462609,23.7082787,86.9757986,"(834462609, 834462817)"
834462817,23.7049633,86.9828045,"(834462817, 834462976)"
834462976,23.6694617,87.0340937,"(834462976, 834463005)"
834463005,23.6865353,87.0005098,"(834463005, 834463018)"
834463018,23.710028,86.9714,"(834463018, 834463156)"
834463156,23.67459,87.0132664,"(834463156, 834463174)"
834463174,23.6989216,86.9888315,"(834463174, 834463342)"
834463342,23.6898979,86.995545,"(834463342, 834463354)"
834463354,23.7061888,86.9811952,"(834463354, 834463508)"
834463508,23.6722809,87.0192477,"(834463508, 834463544)"
834463544,23.7163956,86.954402,"(834463544, 834463719)"
834463719,23.6818665,87.0058386,"(834463719, 834463734)"
834463734,23.7067806,86.9799453,"(834463734, 834463904)"
834463904,23.6970888,86.9908271,"(834463904, 834464068)"
834464068,23.6848503,87.0025188,"(834464068, 834464079)"
834464079,23.7055208,86.9821796,"(834464079, 834464250)"
834464250,23.6714948,87.0238933,"(834464250, 834464281)"
834464281,23.6975362,86.9905803,"(834464281, 834464296)"
834464296,23.7126285,86.9651968,"(834464296, 834464460)"
834464460,23.6767167,87.011079,"(834464460, 834464474)"
834464474,23.7059776,86.9815439,"(834464474, 834464620)"
834464620,23.6719763,87.0211172,"(834464620, 834464642)"
834464642,23.6927225,86.9934954,"(834464642, 834464658)"
834464658,23.713158,86.9637844,"(834464658, 834464776)"
834464776,23.6778144,87.0098899,"(834464776, 834464794)"
834464794,23.7023624,86.9850361,"(834464794, 1184358509)"
1184358509,23.6923737,86.9936702,"(1184358509, 1184358527)"
1184358527,23.6847988,87.002386,"(1184358527, 1184358531)"
1184358531,23.6992311,86.9882333,"(1184358531, 1184358534)"
1184358534,23.7182122,86.9468468,"(1184358534, 1184358538)"
1184358538,23.6726944,87.0167802,"(1184358538, 1184358549)"
1184358549,23.7056657,86.9817424,"(1184358549, 1184358563)"
1184358563,23.6977587,86.9902691,"(1184358563, 1184358570)"
1184358570,23.673713,87.0142414,"(1184358570, 1184358580)"
1184358580,23.6888565,86.9965963,"(1184358580, 1184358585)"
1184358585,23.6742437,87.0134166,"(1184358585, 1184358601)"
1184358601,23.6909309,86.9948869,"(1184358601, 1184358603)"
1184358603,23.6708365,87.02631,"(1184358603, 1184358613)"
1184358613,23.6994104,86.9877425,"(1184358613, 1184358622)"
1184358622,23.6919547,86.9940843,"(1184358622, 1184358641)"
1184358641,23.6831874,87.0043185,"(1184358641, 1184358652)"
1184358652,23.6986097,86.9894081,"(1184358652, 1184358654)"
1184358654,23.6724774,87.0177752,"(1184358654, 1184358679)"
1184358679,23.6972331,86.9905937,"(1184358679, 1184358708)"
1184358708,23.6872476,86.9993511,"(1184358708, 1184358717)"
1184358717,23.6739513,87.0137385,"(1184358717, 1184358737)"
1184358737,23.691241,86.9947286,"(1184358737, 1184358742)"
1184358742,23.7080871,86.9759139,"(1184358742, 1184358751)"
1184358751,23.669284,87.0343056,"(1184358751, 1184358755)"
1184358755,23.6988848,86.9885981,"(1184358755, 1184358768)"
1184358768,23.6911767,86.994588,"(1184358768, 1184358810)"
1184358810,23.6824073,87.0051007,"(1184358810, 1184358831)"
1184358831,23.6983715,86.9898078,"(1184358831, 1184358847)"
1184358847,23.716341,86.9541424,"(1184358847, 1184358851)"
1184358851,23.6720389,87.0194274,"(1184358851, 1184358853)"
1184358853,23.7048307,86.9827187,"(1184358853, 1184358873)"
1184358873,23.6938302,86.9923854,"(1184358873, 1184358892)"
1184358892,23.686948,86.999799,"(1184358892, 1184358900)"
1184358900,23.6735042,87.0142588,"(1184358900, 1184358903)"
1184358903,23.6733851,87.0144492,"(1184358903, 1184358915)"
1184358915,23.6888933,86.9967815,"(1184358915, 1184358918)"
1184358918,23.7068543,86.9793391,"(1184358918, 1184358930)"
1184358930,23.6985385,86.9892579,"(1184358930, 1184358935)"
1184358935,23.6908801,86.9947559,"(1184358935, 1184358955)"
1184358955,23.6774959,87.0099623,"(1184358955, 1184358971)"
1184358971,23.6817884,87.0057158,"(1184358971, 1184358989)"
1184358989,23.6930806,86.9931518,"(1184358989, 1184358994)"
1184358994,23.7130233,86.963773,"(1184358994, 1184359000)"
1184359000,23.671765,87.0216268,"(1184359000, 1184359004)"
1184359004,23.7022863,86.9849047,"(1184359004, 1184359020)"
1184359020,23.6934298,86.9926509,"(1184359020, 1184359056)"
1184359056,23.6865181,87.0003328,"(1184359056, 1184359078)"
1184359078,23.6998058,86.9874984,"(1184359078, 1184359083)"
1184359083,23.673034,87.0154924,"(1184359083, 1184359094)"
1184359094,23.6874048,86.9993189,"(1184359094, 1184359099)"
1184359099,23.7063508,86.9805971,"(1184359099, 1184359116)"
1184359116,23.6981271,86.989903,"(1184359116, 1184359123)"
1184359123,23.6901955,86.9951936,"(1184359123, 1184359131)"
1184359131,23.6804348,87.0072369,"(1184359131, 1184359133)"
1184359133,23.6895319,86.9957408,"(1184359133, 1184359152)"
1184359152,23.6901754,86.9953305,"(1184359152, 1184359155)"
1184359155,23.712528,86.9650965,"(1184359155, 1184359158)"
1184359158,23.6715071,87.0231369,"(1184359158, 1184359164)"
1184359164,23.6997616,86.9873428,"(1184359164, 1324356328)"
1324356328,23.5936663,87.0935965,"(1324356328, 1324746303)"
1324746303,23.6416221,86.8937128,"(1324746303, 1324746306)"
1324746306,23.6441678,86.8978197,"(1324746306, 1324746307)"
1324746307,23.6448262,86.8971453,"(1324746307, 1324746308)"
1324746308,23.6454032,86.8967229,"(1324746308, 1324746310)"
1324746310,23.6461298,87.0163315,"(1324746310, 1324746311)"
1324746311,23.6461499,86.8967452,"(1324746311, 1324746312)"
1324746312,23.6464483,86.8996245,"(1324746312, 1324746313)"
1324746313,23.6467801,86.9004203,"(1324746313, 1324746314)"
1324746314,23.6469488,87.0162382,"(1324746314, 1324746315)"
1324746315,23.6471546,86.8967007,"(1324746315, 1324746316)"
1324746316,23.6472243,86.9016424,"(1324746316, 1324746317)"
1324746317,23.6474046,87.0162693,"(1324746317, 1324746318)"
1324746318,23.6474584,86.9021048,"(1324746318, 1324746320)"
1324746320,23.6475247,86.902419,"(1324746320, 1324746321)"
1324746321,23.6476677,86.9023917,"(1324746321, 1324746322)"
1324746322,23.6479188,86.9026001,"(1324746322, 1324746324)"
1324746324,23.6483503,86.9028286,"(1324746324, 1324746325)"
1324746325,23.6486295,87.0165259,"(1324746325, 1324746326)"
1324746326,23.648781,86.902963,"(1324746326, 1324746327)"
1324746327,23.6491209,87.0166191,"(1324746327, 1324746328)"
1324746328,23.6496583,86.9032644,"(1324746328, 1324746329)"
1324746329,23.6497475,87.0165103,"(1324746329, 1324746330)"
1324746330,23.6502413,86.9031977,"(1324746330, 1324746331)"
1324746331,23.6502176,87.0163237,"(1324746331, 1324746332)"
1324746332,23.6504926,86.9031363,"(1324746332, 1324746333)"
1324746333,23.6508798,87.0158339,"(1324746333, 1324746335)"
1324746335,23.6510936,86.9029111,"(1324746335, 1324746336)"
1324746336,23.6519555,86.9025258,"(1324746336, 1324746337)"
1324746337,23.6526815,87.0143646,"(1324746337, 1324746338)"
1324746338,23.6529024,86.9018576,"(1324746338, 1324746339)"
1324746339,23.6535264,86.901313,"(1324746339, 1324746340)"
1324746340,23.6544582,86.9003485,"(1324746340, 1324746341)"
1324746341,23.6546352,86.9130285,"(1324746341, 1324746342)"
1324746342,23.6552627,86.8995378,"(1324746342, 1324746343)"
1324746343,23.6560518,86.8989543,"(1324746343, 1324746344)"
1324746344,23.656826,87.0106407,"(1324746344, 1324746345)"
1324746345,23.6569936,86.8983985,"(1324746345, 1324746347)"
1324746347,23.6574741,87.0099954,"(1324746347, 1324746348)"
1324746348,23.658471,87.0092413,"(1324746348, 1324746349)"
1324746349,23.6588517,86.8974259,"(1324746349, 1324746350)"
1324746350,23.6595621,86.8969618,"(1324746350, 1324746351)"
1324746351,23.6597243,87.008425,"(1324746351, 1324746352)"
1324746352,23.6602855,86.8960272,"(1324746352, 1324746353)"
1324746353,23.662102,86.9079504,"(1324746353, 1324746354)"
1324746354,23.660871,86.8950453,"(1324746354, 1324746355)"
1324746355,23.6611849,86.8941468,"(1324746355, 1324746356)"
1324746356,23.6614055,86.8932761,"(1324746356, 1324746357)"
1324746357,23.6615158,86.8925536,"(1324746357, 1324746358)"
1324746358,23.6618528,87.0037993,"(1324746358, 1324746360)"
1324746360,23.6622666,86.8869657,"(1324746360, 1324746361)"
1324746361,23.6630918,87.004429,"(1324746361, 1324746362)"
1324746362,23.6634413,87.006528,"(1324746362, 1324746384)"
1324746384,23.6636665,86.8771354,"(1324746384, 1324746387)"
1324746387,23.6639819,87.0048799,"(1324746387, 1324746389)"
1324746389,23.6642201,86.8736224,"(1324746389, 1324746391)"
1324746391,23.6644661,86.8727331,"(1324746391, 1324746393)"
1324746393,23.6645444,87.0050665,"(1324746393, 1324746394)"
1324746394,23.6648564,86.8717698,"(1324746394, 1324746395)"
1324746395,23.6650073,87.0051598,"(1324746395, 1324746403)"
1324746403,23.6654131,87.0054688,"(1324746403, 1324746406)"
1324746406,23.6654503,86.8704544,"(1324746406, 1324746409)"
1324746409,23.665584,87.0051598,"(1324746409, 1324746412)"
1324746412,23.6660793,86.9328828,"(1324746412, 1324746415)"
1324746415,23.6661748,87.0050745,"(1324746415, 1324746418)"
1324746418,23.6661969,86.8693151,"(1324746418, 1324746419)"
1324746419,23.6637455,86.9092176,"(1324746419, 1324746420)"
1324746420,23.6664061,86.933377,"(1324746420, 1324746430)"
1324746430,23.6668106,86.9338907,"(1324746430, 1324746434)"
1324746434,23.6670198,86.8682869,"(1324746434, 1324746437)"
1324746437,23.6679108,86.9360692,"(1324746437, 1324746439)"
1324746439,23.6678682,86.8674347,"(1324746439, 1324746441)"
1324746441,23.6683503,86.8579744,"(1324746441, 1324746442)"
1324746442,23.6688888,86.9368001,"(1324746442, 1324746444)"
1324746444,23.6685849,87.0038269,"(1324746444, 1324746446)"
1324746446,23.6684506,86.9352119,"(1324746446, 1324746458)"
1324746458,23.6687585,87.0002395,"(1324746458, 1324746460)"
1324746460,23.6692057,86.866576,"(1324746460, 1324746462)"
1324746462,23.6693495,87.0014523,"(1324746462, 1324746464)"
1324746464,23.6693823,87.0035333,"(1324746464, 1324746466)"
1324746466,23.6693984,86.8574022,"(1324746466, 1324746469)"
1324746469,23.6696699,87.0018255,"(1324746469, 1324746471)"
1324746471,23.6699973,86.8515576,"(1324746471, 1324746473)"
1324746473,23.6697828,86.9374316,"(1324746473, 1324746478)"
1324746478,23.6702026,87.0033044,"(1324746478, 1324746480)"
1324746480,23.6706084,86.8656099,"(1324746480, 1324746483)"
1324746483,23.6710038,86.9373568,"(1324746483, 1324746485)"
1324746485,23.6711578,86.8573613,"(1324746485, 1324746490)"
1324746490,23.6711732,87.0032149,"(1324746490, 1324746493)"
1324746493,23.6711281,86.9374337,"(1324746493, 1324746495)"
1324746495,23.6715695,86.8576883,"(1324746495, 1324746498)"
1324746498,23.6718203,87.0032198,"(1324746498, 1324746501)"
1324746501,23.6728278,87.0113078,"(1324746501, 1324746507)"
1324746507,23.6732166,86.8578109,"(1324746507, 1324746510)"
1324746510,23.6730701,87.004356,"(1324746510, 1324746513)"
1324746513,23.6734862,87.0032043,"(1324746513, 1324746515)"
1324746515,23.673516,86.8496775,"(1324746515, 1324746519)"
1324746519,23.673692,87.0106397,"(1324746519, 1324746522)"
1324746522,23.6736714,87.0048862,"(1324746522, 1324746524)"
1324746524,23.6740775,86.8573613,"(1324746524, 1324746526)"
1324746526,23.6745681,87.0084233,"(1324746526, 1324746537)"
1324746537,23.6745989,87.0067598,"(1324746537, 1324746541)"
1324746541,23.6746609,87.0079371,"(1324746541, 1324746544)"
1324746544,23.6746861,87.0073906,"(1324746544, 1324746546)"
1324746546,23.674901,86.8564213,"(1324746546, 1324746547)"
1324746547,23.6751174,87.0122163,"(1324746547, 1324746548)"
1324746548,23.6752281,87.0123671,"(1324746548, 1324746550)"
1324746550,23.6751729,87.012118,"(1324746550, 1324746554)"
1324746554,23.675318,87.012493,"(1324746554, 1324746566)"
1324746566,23.6752536,87.011958,"(1324746566, 1324746567)"
1324746567,23.6754791,86.9390341,"(1324746567, 1324746568)"
1324746568,23.6756115,86.9414057,"(1324746568, 1324746571)"
1324746571,23.6754634,87.0076125,"(1324746571, 1324746573)"
1324746573,23.6755123,87.0074517,"(1324746573, 1324746575)"
1324746575,23.675454,87.0082056,"(1324746575, 1324746578)"
1324746578,23.6756628,87.0070881,"(1324746578, 1324746582)"
1324746582,23.6757083,86.9390665,"(1324746582, 1324746591)"
1324746591,23.6758089,87.0112932,"(1324746591, 1324746596)"
1324746596,23.6764248,86.8548062,"(1324746596, 1324746604)"
1324746604,23.6759681,86.9390426,"(1324746604, 1324746610)"
1324746610,23.6760592,87.0109195,"(1324746610, 1324746620)"
1324746620,23.6759739,87.0097262,"(1324746620, 1324746624)"
1324746624,23.6760988,86.8476339,"(1324746624, 1324746627)"
1324746627,23.6761314,87.0105812,"(1324746627, 1324746629)"
1324746629,23.6760872,87.0101095,"(1324746629, 1324746631)"
1324746631,23.675307,87.0085581,"(1324746631, 1324746640)"
1324746640,23.6764135,87.003309,"(1324746640, 1324746641)"
1324746641,23.6764535,86.9715124,"(1324746641, 1324746643)"
1324746643,23.6764873,86.9720778,"(1324746643, 1324746644)"
1324746644,23.6768938,86.9386431,"(1324746644, 1324746647)"
1324746647,23.6767283,86.9686402,"(1324746647, 1324746656)"
1324746656,23.676747,86.9682597,"(1324746656, 1324746657)"
1324746657,23.6769024,86.9663425,"(1324746657, 1324746659)"
1324746659,23.6769636,87.0033575,"(1324746659, 1324746661)"
1324746661,23.6771088,86.9655731,"(1324746661, 1324746663)"
1324746663,23.6773177,86.9648279,"(1324746663, 1324746664)"
1324746664,23.6772332,87.007069,"(1324746664, 1324746667)"
1324746667,23.6775529,86.963644,"(1324746667, 1324746671)"
1324746671,23.6773841,86.938713,"(1324746671, 1324746674)"
1324746674,23.6775551,86.9635176,"(1324746674, 1324746709)"
1324746709,23.6775775,86.9613555,"(1324746709, 1324746712)"
1324746712,23.6776318,87.0033409,"(1324746712, 1324746713)"
1324746713,23.677726,86.8619138,"(1324746713, 1324746715)"
1324746715,23.6776755,87.0012395,"(1324746715, 1324746717)"
1324746717,23.6776574,86.9748319,"(1324746717, 1324746720)"
1324746720,23.6780271,86.853158,"(1324746720, 1324746721)"
1324746721,23.6776719,86.96097,"(1324746721, 1324746723)"
1324746723,23.6783543,86.9338793,"(1324746723, 1324746725)"
1324746725,23.6776903,86.9384627,"(1324746725, 1324746726)"
1324746726,23.6780583,86.9603237,"(1324746726, 1324746727)"
1324746727,23.6779148,86.9754978,"(1324746727, 1324746731)"
1324746731,23.6782324,86.8453042,"(1324746731, 1324746733)"
1324746733,23.6781837,86.9766234,"(1324746733, 1324746734)"
1324746734,23.6783501,86.9600561,"(1324746734, 1324746737)"
1324746737,23.6782906,86.977228,"(1324746737, 1324746739)"
1324746739,23.6785036,86.8614792,"(1324746739, 1324746741)"
1324746741,23.6781879,86.938173,"(1324746741, 1324746744)"
1324746744,23.6793914,86.8610739,"(1324746744, 1324746745)"
1324746745,23.6786488,86.978093,"(1324746745, 1324746748)"
1324746748,23.6788313,86.828792,"(1324746748, 1324746750)"
1324746750,23.6788849,87.0030844,"(1324746750, 1324746751)"
1324746751,23.6789062,86.8424431,"(1324746751, 1324746753)"
1324746753,23.6790559,86.8267484,"(1324746753, 1324746755)"
1324746755,23.6790559,86.8307947,"(1324746755, 1324746761)"
1324746761,23.6803171,86.9161387,"(1324746761, 1324746763)"
1324746763,23.6793457,86.9587222,"(1324746763, 1324746769)"
1324746769,23.6801427,86.8606541,"(1324746769, 1324746771)"
1324746771,23.6799275,87.0042761,"(1324746771, 1324746775)"
1324746775,23.6796548,86.8352088,"(1324746775, 1324746777)"
1324746777,23.6796548,86.8389282,"(1324746777, 1324746781)"
1324746781,23.6798072,86.9794895,"(1324746781, 1324746783)"
1324746783,23.6802439,86.9370003,"(1324746783, 1324746794)"
1324746794,23.6799586,87.0027501,"(1324746794, 1324746797)"
1324746797,23.6800071,86.9836947,"(1324746797, 1324746799)"
1324746799,23.6800479,86.9829003,"(1324746799, 1324746801)"
1324746801,23.6800665,86.8507401,"(1324746801, 1324746803)"
1324746803,23.6801414,86.8247865,"(1324746803, 1324746805)"
1324746805,23.6800908,86.9797782,"(1324746805, 1324746808)"
